epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13895.2,0.59724,0.35405,0.92184,0.94892,0.93507,0.96355,0.83192,0.6432,0.39252,0.86893,0.00023525,0.00023525,0.00023525
43,14220.6,0.59274,0.34222,0.91545,0.95511,0.93036,0.965,0.83117,0.65595,0.39838,0.87434,0.0002105,0.0002105,0.0002105
44,14553.1,0.59105,0.34175,0.91507,0.94739,0.93843,0.96404,0.8349,0.64268,0.38487,0.86296,0.00018575,0.00018575,0.00018575
45,14873.1,0.57687,0.3243,0.91633,0.94953,0.93333,0.96642,0.83508,0.63983,0.38568,0.86584,0.000161,0.000161,0.000161
46,15192,0.57103,0.32553,0.90907,0.95791,0.92771,0.96407,0.83609,0.64178,0.38501,0.86809,0.00013625,0.00013625,0.00013625
47,15508.8,0.56967,0.3169,0.90616,0.95895,0.92841,0.96503,0.83351,0.6439,0.38144,0.86719,0.0001115,0.0001115,0.0001115
48,15825.6,0.56689,0.30887,0.91062,0.96337,0.9309,0.96492,0.83602,0.63795,0.38167,0.86571,8.675e-05,8.675e-05,8.675e-05
49,16141,0.56671,0.31199,0.91608,0.96006,0.93487,0.96724,0.83618,0.63696,0.37404,0.863,6.2e-05,6.2e-05,6.2e-05
50,16458.1,0.55151,0.2962,0.89734,0.95315,0.93939,0.96707,0.83841,0.63773,0.37459,0.86581,3.725e-05,3.725e-05,3.725e-05
1,210.736,0.97441,2.07639,1.29586,0.60506,0.55545,0.62558,0.47341,1.11143,1.6114,1.28091,0.000414244,0.000414244,0.000414244
2,407.316,0.94374,1.26323,1.24255,0.48062,0.48686,0.38846,0.27652,1.28472,2.60962,1.50299,0.000814459,0.000814459,0.000814459
3,610.556,0.95577,1.20501,1.24819,0.61925,0.61662,0.67145,0.46955,1.32137,1.61464,1.49427,0.00119817,0.00119817,0.00119817
4,814.699,0.95413,1.16729,1.24579,0.66173,0.64928,0.71235,0.51131,1.20999,1.45227,1.33424,0.00117575,0.00117575,0.00117575
5,1024.96,0.88552,1.05398,1.20573,0.70113,0.65819,0.73682,0.56379,1.10215,1.30728,1.2709,0.001151,0.001151,0.001151
6,1232.52,0.8371,0.99349,1.17826,0.66286,0.52423,0.54809,0.3811,1.31807,2.01259,1.44443,0.00112625,0.00112625,0.00112625
7,1437.16,0.8295,0.94584,1.17449,0.75971,0.74033,0.81713,0.63484,1.02521,1.0971,1.19812,0.0011015,0.0011015,0.0011015
8,1644.75,0.8169,0.92486,1.17249,0.74083,0.68158,0.73189,0.57016,1.10556,1.34029,1.3174,0.00107675,0.00107675,0.00107675
9,1852.15,0.76939,0.84112,1.14013,0.80552,0.70412,0.76347,0.6075,1.05026,1.14494,1.23823,0.001052,0.001052,0.001052
10,2057.8,0.77034,0.82395,1.1317,0.83425,0.74935,0.83252,0.65753,0.94278,0.96125,1.13546,0.00102725,0.00102725,0.00102725
11,2264.29,0.73907,0.80148,1.12496,0.81101,0.78725,0.84714,0.67635,0.9722,0.89687,1.17176,0.0010025,0.0010025,0.0010025
12,2489.15,0.73971,0.75257,1.10665,0.82286,0.72625,0.80949,0.6566,0.9563,1.03182,1.15492,0.00097775,0.00097775,0.00097775
13,2694.07,0.71711,0.74145,1.1063,0.76411,0.77899,0.83267,0.64557,0.93757,0.99539,1.15141,0.000953,0.000953,0.000953
14,2897.33,0.71045,0.72624,1.0952,0.82846,0.81951,0.86202,0.69188,0.90568,0.81741,1.10866,0.00092825,0.00092825,0.00092825
15,3101.79,0.70541,0.71245,1.1004,0.62979,0.69724,0.77581,0.62915,0.92035,1.51699,1.14667,0.0009035,0.0009035,0.0009035
16,3305.66,0.68483,0.69369,1.09347,0.84054,0.81709,0.86737,0.68464,0.91545,0.8328,1.10804,0.00087875,0.00087875,0.00087875
17,3508.65,0.67359,0.67745,1.08171,0.82978,0.85275,0.88195,0.70644,0.88252,0.76641,1.09267,0.000854,0.000854,0.000854
18,3711.31,0.67002,0.65681,1.08253,0.72337,0.7156,0.81008,0.64947,0.92216,1.07615,1.13417,0.00082925,0.00082925,0.00082925
19,3914.62,0.6726,0.64478,1.07916,0.81016,0.80673,0.89377,0.71731,0.86775,0.80393,1.08826,0.0008045,0.0008045,0.0008045
20,4117.92,0.66316,0.63736,1.07254,0.86105,0.82299,0.87955,0.69683,0.92328,0.78947,1.14386,0.00077975,0.00077975,0.00077975
21,4320.73,0.63343,0.61464,1.05995,0.84883,0.87052,0.8924,0.71122,0.8872,0.71843,1.10548,0.000755,0.000755,0.000755
22,4523.89,0.65474,0.61699,1.06293,0.83435,0.80831,0.8651,0.67463,0.95732,0.81128,1.14342,0.00073025,0.00073025,0.00073025
23,4726.97,0.63471,0.58242,1.06147,0.8633,0.8699,0.89723,0.71939,0.86746,0.70345,1.06598,0.0007055,0.0007055,0.0007055
24,4930.62,0.63484,0.57872,1.05571,0.90546,0.8351,0.90346,0.72663,0.84323,0.69661,1.05775,0.00068075,0.00068075,0.00068075
